product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound
Low Drizzle,3,I like that it wasnt too sweet.,3,"The amount of cinnamon makes it somewhat bitter, and theres also a bit of a sourness to the flavor. I would make it flakier, tone down the cinnamon, and add a bit more frosting.","['like', 'wasn\x92t', 'sweet']","['amount', 'cinnamon', 'make', 'somewhat', 'bitter', 'there\x92s', 'also', 'bit', 'sourness', 'flavor', 'would', 'make', 'flaky', 'tone', 'cinnamon', 'add', 'bit', 'frosting']",0.6705,-0.3626
Low Drizzle,8,I love cinnamon so it tasted better than expected.  I think this would be a great grab and go in the morning.,5,Maybe make them a little bigger.,"['love', 'cinnamon', 'taste', 'well', 'expect', 'think', 'would', 'great', 'grab', 'go', 'morning']","['maybe', 'make', 'little', 'big']",0.9093,0
High Drizzle,8,The amount of frosting.,5,The texture was a little grainy.,"['amount', 'frosting']","['texture', 'little', 'grainy']",0,0
High Drizzle,8,I liked the cinnamon flavor. It tasted moist and not dry.,4,Bigger in size. Less frosting drizzled on top. It tasted a bit too sugary. I couldnt taste the bread as much.,"['liked', 'cinnamon', 'flavor', 'taste', 'moist', 'dry']","['big', 'size', 'less', 'frost', 'drizzle', 'top', 'taste', 'bit', 'sugary', 'couldn\x92t', 'taste', 'bread', 'much']",0.4215,0.2023
Low Drizzle,9,"I liked the cinnamon flavor, it was sweet but not over powering. Just the right amount of frosting on top. It wasnt too chewy, it was moist enough.",5,Make it bigger!,"['liked', 'cinnamon', 'flavor', 'sweet', 'power', 'right', 'amount', 'frost', 'top', 'wasn\x92t', 'chewy', 'moist', 'enough']","['make', 'big']",0.6249,0
Low Drizzle,4,I liked the crunchiness of the frosting and the size,2,"I would make it more almost cake like, Id add more cinnamon","['liked', 'crunchiness', 'frost', 'size']","['would', 'make', 'almost', 'cake', 'like', 'i\x92d', 'add', 'cinnamon']",0.4215,0.3581
High Drizzle,8,"I loved the flavor, the crunchiness of the frosting",5,Id make them bigger so I could have more,"['love', 'flavor', 'crunchiness', 'frosting']","['i\x92d', 'make', 'big', 'could']",0.5994,0
High Drizzle,5,Flavor was good. Not too sweet good cinnamon amount.,3,It was more of a cookie than I expected. Pic looks fresh baked where the product is actually pre baked,"['flavor', 'good', 'sweet', 'good', 'cinnamon', 'amount']","['cookie', 'expect', 'pic', 'look', 'fresh', 'baked', 'product', 'actually', 'pre', 'bake']",0.5139,0.3182
Low Drizzle,7,The right amount of frosting helped keep the sweetness the right amount.,4,It was a little hard.,"['right', 'amount', 'frosting', 'help', 'keep', 'sweetness', 'right', 'amount']","['little', 'hard']",0.4939,-0.0276
Low Drizzle,4,I like that this incorporated all the flavors of a cinnamon roll in a bite size form.,1,I would make it LOOK like a cinnamon roll and warm up for a short time.,"['like', 'incorporate', 'flavor', 'cinnamon', 'roll', 'bite', 'size', 'form']","['would', 'make', 'look', 'like', 'cinnamon', 'roll', 'warm', 'short', 'time']",0.3612,0.5267
High Drizzle,4,The texture and softness of the mini is good.,2,Warmed up and I wish I got more frosting flavor (cream cheese) with the amount that is on here.,"['texture', 'softness', 'mini', 'good']","['warmed', 'wish', 'get', 'frost', 'flavor', 'cream', 'cheese', 'amount']",0.4404,0.5859
High Drizzle,9,Great bite size very tasty I liked how chewy they were and not to sweet.,5,I dont think I would change anything.,"['great', 'bite', 'size', 'tasty', 'like', 'chewy', 'sweet']","['don\x92t', 'think', 'would', 'change', 'anything']",0.6906,0
Low Drizzle,9,This one had less frosting so I wasnt sure if I would like it as much as the other one however I actually liked it just as much. Love the bite size my kids will love it. Its not sticky so no sticky fingers,5,Leave it as is,"['one', 'less', 'frost', 'wasn\x92t', 'sure', 'would', 'like', 'much', 'one', 'however', 'actually', 'like', 'much', 'love', 'bite', 'size', 'kid', 'love', 'it\x92s', 'sticky', 'sticky', 'finger']",['leave'],0.9248,-0.0516
Low Drizzle,7,That it was in a cookie form.,4,Just a little more frosting.,"['cookie', 'form']","['little', 'frosting']",0,0
High Drizzle,8,There was more frosting than the previous sample.,4,A little bigger & a little less cinnamon.,"['frost', 'previous', 'sample']","['little', 'big', 'little', 'less', 'cinnamon']",0,0
High Drizzle,4,Good cinnamon flavor,2,The texture was terrible,"['good', 'cinnamon', 'flavor']","['texture', 'terrible']",0.4404,-0.4767
Low Drizzle,7,Texture and flavor good,4,Could be a bit sweeter,"['texture', 'flavor', 'good']","['could', 'bite', 'sweet']",0.4404,0
Low Drizzle,7,"Flavor was amazing and it was perfect texture wise, great mini snack.",4,"Nothing ,","['flavor', 'amaze', 'perfect', 'texture', 'wise', 'great', 'mini', 'snack']",['nothing'],0.9403,0
