product_code,combined_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound,combined_compound
Chobani Original,"['average', 'price', 'higher', 'expect', '020', 'packaging', 'isnt', 'much', 'different', 'regular', 'chobani', 'yogurt', 'maybe', 'help', 'stand', 'product', 'fruit', 'bottom', 'would', 'helpful']",,0.6969,,
Chobani Smooth,"['package', 'say', 'regular', 'yogurt', 'taste', 'like', 'greek', 'yogurt']",,0.5023,,
Chobani Original,"['try', 'communicate', 'yogurt', 'greek', 'style', 'creamy']",,0.0,,
Chobani Smooth,"['say', 'real', 'fruit', 'find', 'none', 'unexpected', 'less', 'sugar', 'much', 'sweetness', 'im', 'also', 'surprise', 'protein']",,0.7684,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Smooth,"['waterythere', 'much', 'label', 'make', 'hard', 'really', 'see', 'make', 'different', 'yogurt', 'shelf']",,-0.1027,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Smooth,"['fruit', 'bite', 'unexpected', 'since', 'information', 'side', 'container', 'easy', 'see', 'think', 'fruit', 'bite', 'front', 'container', 'side', 'easily', 'visible', 'would', 'nice', 'nutrition', 'fact', 'container']",,0.4692,,
Chobani Original,['protein'],,0.0,,
Chobani Smooth,"['usually', 'eat', 'greek', 'yogurt', 'surprise', 'similar', 'protein', 'package', 'good', 'job', 'describe', 'product']",,0.6222,,
Chobani Original,"['healthful', 'benefit', 'greek', 'yogurt', 'calorie']",,0.3818,,
Chobani Smooth,"['surprise', 'nowhere', 'package', 'say', 'stir', 'consume', 'get', 'best', 'experience']",,0.75,,
Chobani Original,"['nothing', 'unexpected']",,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Original,"['dont', 'think', 'need', 'say', '0', 'milkfat', 'non', 'fat', 'yogurt', 'front', 'packaging', 'thing']",,0.0,,
Chobani Smooth,"['say', 'full', 'real', 'fruit', 'expect', 'fruit', 'chunk']",,0.0,,
Chobani Original,"['nothing', 'straight', 'forward']",,-0.2222,,
Chobani Smooth,"['surprised', 'wasnt', 'ingredient', 'list', 'nutrition', 'label', 'actual', 'cup', 'yogurt']",,0.2263,,
Chobani Original,"['part', 'almost', 'gelatin', 'taste', 'enough', 'flavor', 'restate', 'non', 'fat0', 'milk', 'fat', 'make', 'real', 'fruit', 'felt', 'like', 'convey', 'high', 'quantity', 'fruit', 'contain', 'preserve', 'make', 'sound', 'like', 'something', 'artificial', 'preserve', 'eat']",,0.6124,,
Chobani Smooth,"['expect', 'thinness', 'yogurt', 'taste', 'sweet', 'would', 'like', 'nutritional', 'value', 'label', 'package', 'include', 'calorie', 'count']",,0.8429,,
Chobani Original,"['little', 'sournot', 'sure', 'would', 'communicate', 'package']",,0.2551,,
Chobani Smooth,"['change', 'packaging', 'although', 'didnt', 'know', 'chobani', 'make', 'nongreek', 'yogurt', 'see', 'packaging', 'say', 'classic', 'initially', 'missed', 'sure', 'would', 'recommend', 'change', 'increase', 'awareness']",,0.0918,,
Chobani Original,"['nothing', 'really', 'expect']",,0.0,,
Chobani Smooth,"['nothing', 'package', 'clear', 'say', 'would', 'like', 'thicker', 'prefer', 'yougurts', 'thin', 'texure', 'even', 'greek']",,0.659,,
Chobani Original,"['yogurt', 'know', 'expect', 'pay', 'closer', 'attention', 'time', 'taste', 'even', 'well', 'strong', 'strawberry', 'flavor']",,0.8519,,
Chobani Smooth,"['would', 'like', 'nutrition', 'information', 'container']",,0.3612,,
Chobani Original,"['amount', 'fruit', 'bottom', 'little', 'misleading', 'need', 'fruit']",,-0.3415,,
Chobani Smooth,"['expect', 'fruit', 'chunk', 'suppose', 'smooth']",,0.0,,
Chobani Original,"['word', 'greek', 'biggerbolder', 'stand', 'picture', 'strawberry', 'small']",,0.0,,
Chobani Smooth,"['much', 'strawberry', 'flavor', 'intention', 'maybe', 'describe', 'strawberry', 'kiss', 'something']",,0.4215,,
Chobani Original,"['thing', 'find', 'confuse', 'outside', 'package', 'label', 'state', 'strawberry', 'bottom', 'give', 'impression', 'yogurt', 'would', 'sit', 'strawberry', 'consumer', 'would', 'mix', 'together', 'however', 'open', 'yogurt', 'without', 'shake', 'yogurt', 'strawberry', 'already', 'mixed', 'together', 'salmon', 'color', 'therefore', 'aspect', 'product', 'misguiding']",,0.1326,,
Chobani Smooth,"['surprised', 'yogurt', 'wasnt', 'greek', 'yogurt', 'packaging', 'wasnt', 'totally', 'clear', 'associate', 'chobani', 'greek', 'yogurt']",,-0.1282,,
